name,n_days,total_return,annual_return,annual_vol,sharpe,max_drawdown,calmar,hit_rate,skew,kurtosis,family,params,sharpe_gross,annual_return_gross,annual_turnover,total_cost,n_trades,n_rejected,runtime_s
"pairs[min_corr=0.75,top_k=40]",2367,1.0173022654669048,0.07757399024158751,0.128495529085859,0.6459185322304138,-0.2557938061920424,0.30326766467264366,0.5196451204055766,-0.4922150127504534,8.93023671730338,pairs,"{'min_corr': 0.75, 'top_k': 40}",0.6793907225893214,0.08117571364179543,10.135832721242872,0.06422896328246505,9471,410,4.4
"pairs[min_corr=0.75,top_k=20]",2367,1.0575244497943523,0.07984127716673828,0.13507219007465843,0.6364851110950664,-0.2765451926232051,0.28870969120596,0.5213350232361639,-0.5089739559893424,9.727656378118315,pairs,"{'min_corr': 0.75, 'top_k': 20}",0.6674888800956618,0.08328544725768161,10.286142339825709,0.062472227282381394,6681,251,4.5
"pairs[min_corr=0.6,top_k=40]",2367,0.8217972309536892,0.06594266218828015,0.12763300956866597,0.5643701988236517,-0.2333838093081938,0.2825502865162335,0.5158428390367554,-0.5157026216236764,8.161096605578084,pairs,"{'min_corr': 0.6, 'top_k': 40}",0.5990703085132931,0.06971606467391944,10.256181568928806,0.061483261802283154,9992,474,7.0
"pairs[min_corr=0.6,top_k=10]",2367,0.7772663901704533,0.06313795406560763,0.13899856681635356,0.5101548859012616,-0.26977660647610335,0.23403791340669988,0.5111956062526405,-0.3807530283311825,7.026733597041107,pairs,"{'min_corr': 0.6, 'top_k': 10}",0.5427622251086228,0.06703004578300975,10.66558916767302,0.06206183411156984,4287,103,7.2
"pairs[min_corr=0.75,top_k=10]",2367,0.6909320162244448,0.057516602650888426,0.14093885792131897,0.46743373551220263,-0.27874831717703774,0.20633883365960795,0.5171102661596958,-0.35333119557674963,8.199629827694658,pairs,"{'min_corr': 0.75, 'top_k': 10}",0.49886603515070993,0.06140752539464711,10.580714961024714,0.05934767859146997,4205,112,4.2
"pairs[min_corr=0.6,top_k=20]",2367,0.6359681927537533,0.05380268363892249,0.13372256466218715,0.45893488353746253,-0.2661322677627832,0.2021652018795386,0.5099281791297,-0.4174569234871903,8.246866675213177,pairs,"{'min_corr': 0.6, 'top_k': 20}",0.4930010553269348,0.05781092654482434,10.564975970848536,0.059389396068309036,6899,329,7.9
"momentum[lookback=250,skip=0]",2177,0.017284123957405306,0.0019856095368104842,0.0631838134432673,0.06302674648317969,-0.2048027378330517,0.009695229457474764,0.19522278364722095,-0.6083623490074647,13.510549314627475,momentum,"{'lookback': 250, 'skip': 0}",0.4816503724588209,0.026152599114489083,51.702353821045925,0.23256844130022314,43548,734,0.2
"momentum[lookback=250,skip=5]",2172,0.01661000306560534,0.001913125372521307,0.06326167577079866,0.06188627112279385,-0.20509131958294946,0.009328163553736077,0.1929097605893186,-0.641163488617936,13.304089401095112,momentum,"{'lookback': 250, 'skip': 5}",0.47919430714299754,0.026072416804519216,51.633566665597044,0.23176144071660593,43382,773,0.2
volatility[lookback=60],2399,-0.055098554504488195,-0.005935632640456601,0.044583271968195747,-0.11119892254973861,-0.19089537574662419,-0.031093642877630404,0.16673614005835766,-1.097148928950684,37.38769107246423,volatility,{'lookback': 60},0.4564800717395582,0.018167550040576463,51.949013063912346,0.24206388374590895,49892,937,0.2
volatility[lookback=20],2416,-0.10885977336425523,-0.011949503314005794,0.045887745073557064,-0.238971596741402,-0.23928055570656148,-0.04993929940826411,0.17052980132450332,-1.325137857320957,37.890404212468134,volatility,{'lookback': 20},0.31298325211007416,0.012459809857477078,52.12162873291846,0.23491196511084894,50372,832,0.2
"momentum[lookback=20,skip=5]",2401,-0.22225430599273344,-0.02603640626821191,0.07133087177013055,-0.3339499465477574,-0.35635515293485764,-0.07306308342613306,0.19700124947938358,-1.98437101363879,24.068250752155798,momentum,"{'lookback': 20, 'skip': 5}",-0.012602169937784617,-0.0029940338139954337,51.392805323274466,0.19408927014323357,48865,1310,0.2
"momentum[lookback=120,skip=5]",2304,-0.24471516835807505,-0.03023084925766184,0.07011365286774128,-0.40259051652382616,-0.30989575852589046,-0.09755167157325317,0.18619791666666666,-1.4657845115738795,17.820518661465172,momentum,"{'lookback': 120, 'skip': 5}",-0.07432390184178057,-0.006816691254981522,51.53058824459756,0.18409307289931703,46310,1304,0.2
reversal[lookback=1],2426,-0.2750994334904149,-0.03286641264580337,0.07521544143925157,-0.4063448414288163,-0.4147220018170741,-0.07924926216068014,0.2007419620774938,-2.707393783422437,28.104674177965634,reversal,{'lookback': 1},-0.11460258388149909,-0.010351785519921775,52.40473605630212,0.1797777284218082,50705,1182,0.2
"momentum[lookback=20,skip=0]",2406,-0.254546580995318,-0.03029963350106213,0.0685148150930959,-0.4146452304757499,-0.3563329110182806,-0.08503181312799844,0.18329177057356608,-1.4866869748989815,18.93096432464489,momentum,"{'lookback': 20, 'skip': 0}",-0.07476646694526709,-0.006678018083581594,51.50725274361252,0.19257689041717296,49053,1757,0.2
reversal[lookback=5],2421,-0.29248098679521617,-0.0353731243515375,0.07576432561221143,-0.4370478869504349,-0.40748861651641255,-0.08680763809781854,0.19454770755885997,-3.076007244900233,36.72534958233098,reversal,{'lookback': 5},-0.12818228303101772,-0.011396526155841524,52.201563180810936,0.18821055961170974,50306,1132,0.2
reversal[lookback=10],2416,-0.30540723031412464,-0.03729831437974018,0.07707616150569152,-0.45421549624851765,-0.43272448818665044,-0.0861941382981127,0.19950331125827814,-3.0001671456111607,32.6514810277735,reversal,{'lookback': 10},-0.14630295745266486,-0.012887323411578722,52.18119442569171,0.18847113609224686,50049,802,0.2
"momentum[lookback=60,skip=5]",2362,-0.32204516272552275,-0.040619390029536295,0.07492669964765034,-0.5156370671352255,-0.39871544730407893,-0.1018756366330549,0.18628281117696868,-2.4710857928449346,27.16222633453148,momentum,"{'lookback': 60, 'skip': 5}",-0.21837996330643208,-0.017398416137429762,51.43620672576305,0.17035364607603698,47741,1448,0.2
reversal[lookback=20],2406,-0.3386818808066876,-0.0423868107325891,0.07661802155635819,-0.5266014156076972,-0.4408130972117411,-0.09615596950430201,0.1886949293433084,-2.637623854844671,30.85657083146169,reversal,{'lookback': 20},-0.21239566508830363,-0.01737676977699798,52.08310502906504,0.1845725508251489,49625,948,0.2
"momentum[lookback=120,skip=0]",2309,-0.35077533478649503,-0.04605104272095584,0.0752239350187355,-0.5888085349378741,-0.37697570400562996,-0.12215917957478789,0.18579471632741446,-2.101878049652275,23.553308262637003,momentum,"{'lookback': 120, 'skip': 0}",-0.30112509572575413,-0.023057919187707054,51.56899640009565,0.158328314383084,46449,1290,0.2
"momentum[lookback=60,skip=0]",2367,-0.3680490596003494,-0.04768641880035762,0.07368044508706884,-0.6260036032617134,-0.43704486389085273,-0.10911103811133402,0.1854668356569497,-2.0787586398176283,22.49380499428214,momentum,"{'lookback': 60, 'skip': 0}",-0.322494368197619,-0.023873015306686618,51.4551941881266,0.16500507339660764,47867,1529,0.2
